Team,City
India,Gqeberha
South Africa,Guwahati
New Zealand,Perth
Australia,Lucknow
Nepal,Pearland
United States of America,Sharjah
United Arab Emirates,Jaipur
West Indies,Windhoek
Papua New Guinea,Bloemfontein
Zimbabwe,Port Moresby
Namibia,Cuttack
Sri Lanka,Chester-le-Street
England,Leicester
Pakistan,Melbourne
Kenya,Ranchi
Bangladesh,Lahore
Netherlands,Johannesburg
Bermuda,The Hague
Ireland,Brisbane
Scotland,Port Elizabeth
Oman,Hyderabad
Thailand,Mirpur
Hong Kong,Chittagong
Canada,Christchurch
Asia XI,Hambantota
Africa XI,Trinidad
Jersey,Pune
ICC World XI,Birmingham
,Manchester
,Gwalior
,Antigua
,Kirtipur
,Karachi
,Harare
,Mount Maunganui
,Deventer
,Canterbury
,Bristol
,Coolidge
,Southampton
,Wellington
,Leeds
,Abu Dhabi
,Aberdeen
,Barbados
,Mumbai
,Bangkok
,Potchefstroom
,Belfast
,Hamilton
,Edinburgh
,Wormsley
,St Kitts
,St Vincent
,Vadodara
,Kanpur
,Auckland
,Bulawayo
,Colombo
,Adelaide
,Dhaka
,Dublin
,Chandigarh
,Durban
,Canberra
,Kuala Lumpur
,London
,Bengaluru
,Centurion
,Nairobi
,Benoni
,Kandy
,Bridgetown
,Delhi
,North Sound
,Galle
,Hobart
,East London
,Almeria
,Dubai
,Port of Spain
,Bangalore
,Grenada
,Khulna
,Kolkata
,Glasgow
,Dharamsala
,Visakhapatnam
,Chiang Mai
,Peshawar
,Dominica
,Dunedin
,St Lucia
,Lincoln
,Ahmedabad
,Bogra
,Chattogram
,Chennai
,Queenstown
,Sydney
,Utrecht
,Margao
,Nottingham
,Guyana
,Al Amarat
,Lauderhill
,Northampton
,Paarl
,Kathmandu
,Taunton
,Cape Town
,Kimberley
,Dambulla
,Amstelveen
,Faisalabad
,King City
,Sylhet
,Nagpur
,Rotterdam
,Coffs Harbour
,Indore
,Rawalpindi
,Toronto
,Nelson
,Gros Islet
,Jamaica
,Napier
,Darwin
,Cardiff
,Multan
,Rajkot
,Worcester
,Pretoria
,Fatullah
,St George's
,Cox's Bazar
,Kingston
,Chelmsford
,Pietermaritzburg
,Dallas
,Mackay
,Dundee
,Kurunegala
,Townsville
,Cairns
,Hove
,Derby
,Bready
,Ayr
,Scarborough
,Loughborough
,Thiruvananthapuram
,Hong Kong
,Kochi
,Kingstown
,Providence
,Katunayake
,Raipur
,Bowral
,Whangarei
,Sind
,FTZ Sports Complex
,Dharmasala
,Jamshedpur
,Brighton
,Faridabad
,Tarouba
